,Steps_m,Calories_m,METs_m,Intensity_m,Calories_d,StepTotal_d,ID_d,DATA_LOST,SYNCH,Date
2021-01-21,7151,1895.989535212518,1.2945138888888887,0.16875,1897,7173,Fitbit sample 1,False,True,2021-01-21
2021-01-22,8177,1994.4472172260294,1.3664583333333333,0.20694444444444443,1997,8203,Fitbit sample 1,False,True,2021-01-22
2021-01-23,4826,1756.8747317791,1.195,0.14027777777777778,1758,4826,Fitbit sample 1,False,True,2021-01-23
2021-01-24,6072,1776.2664910554906,1.2072916666666667,0.14583333333333334,1776,6072,Fitbit sample 1,False,True,2021-01-24
2021-01-25,5671,1754.4390501976031,1.1919444444444445,0.12777777777777777,1756,5678,Fitbit sample 1,False,True,2021-01-25
2021-01-26,5420,1765.2122541666045,1.200625,0.12361111111111112,1765,5420,Fitbit sample 1,False,True,2021-01-26
2021-01-27,6999,1880.251293063165,1.2831944444444443,0.16180555555555556,1880,6999,Fitbit sample 1,False,True,2021-01-27
2021-01-28,6177,1849.3368939161312,1.2615277777777778,0.15625,1849,6177,Fitbit sample 1,False,True,2021-01-28
2021-01-29,7045,1876.6914550066006,1.2806944444444446,0.15416666666666667,1876,7045,Fitbit sample 1,False,True,2021-01-29
2021-01-30,4303,1683.2422521114368,1.1411111111111112,0.10208333333333333,1683,4303,Fitbit sample 1,False,True,2021-01-30
2021-01-31,9927,1966.0621751546878,1.341736111111111,0.19791666666666666,1966,9943,Fitbit sample 1,False,True,2021-01-31
2021-02-01,6561,1880.1576144695293,1.2841666666666667,0.17152777777777778,1881,6568,Fitbit sample 1,False,True,2021-02-01
2021-02-02,7437,1926.9976165294659,1.3172222222222223,0.18819444444444444,1927,7437,Fitbit sample 1,False,True,2021-02-02
2021-02-03,6246,1857.1123352050793,1.2673611111111112,0.1638888888888889,1857,6246,Fitbit sample 1,False,True,2021-02-03
2021-02-04,8318,1987.7022583484659,1.3607638888888889,0.19930555555555557,1989,8353,Fitbit sample 1,False,True,2021-02-04
2021-02-05,8095,1959.5045741796505,1.3406944444444444,0.19166666666666668,1959,8095,Fitbit sample 1,False,True,2021-02-05
2021-02-06,10552,2104.9896109104166,1.4436805555555556,0.21666666666666667,2106,10552,Fitbit sample 1,False,True,2021-02-06
2021-02-07,6418,1773.1750507354755,1.2047222222222222,0.12638888888888888,1773,6424,Fitbit sample 1,False,True,2021-02-07
2021-02-08,7318,1935.8035349845895,1.324861111111111,0.19166666666666668,1937,7327,Fitbit sample 1,False,True,2021-02-08
2021-02-09,7027,1913.5076954364786,1.307986111111111,0.17916666666666667,1916,7027,Fitbit sample 1,False,True,2021-02-09
2021-02-10,3490,1611.1086504459404,1.0891666666666668,0.08611111111111111,1611,3490,Fitbit sample 1,False,True,2021-02-10
2021-02-11,10537,2036.415852308275,1.3920138888888889,0.22361111111111112,2036,10548,Fitbit sample 1,False,True,2021-02-11
2021-02-12,10783,2139.838575124742,1.469652777777778,0.25555555555555554,2141,10791,Fitbit sample 1,False,True,2021-02-12
2021-02-13,6298,1859.548013210298,1.2693055555555555,0.16111111111111112,1859,6298,Fitbit sample 1,False,True,2021-02-13
2021-02-14,8363,1906.5753746032735,1.3002777777777779,0.15486111111111112,1906,8363,Fitbit sample 1,False,True,2021-02-14
2021-02-15,6738,1914.0697729587566,1.3095138888888889,0.1840277777777778,1916,6745,Fitbit sample 1,False,True,2021-02-15
2021-02-16,7237,1915.2876132726685,1.3090277777777777,0.19027777777777777,1915,7237,Fitbit sample 1,False,True,2021-02-16
2021-02-17,6772,1884.8416135311138,1.2869444444444444,0.16666666666666666,1886,6781,Fitbit sample 1,False,True,2021-02-17
2021-02-18,6590,1883.4364141225824,1.2863194444444443,0.17222222222222222,1885,6607,Fitbit sample 1,False,True,2021-02-18
2021-02-19,6284,1780.7631310224551,1.2099305555555555,0.1388888888888889,1784,6293,Fitbit sample 1,False,True,2021-02-19
2021-02-20,8535,1983.3929724693312,1.3572916666666666,0.19375,1983,8535,Fitbit sample 1,False,True,2021-02-20
2021-02-21,6413,1789.6627292633077,1.2171527777777778,0.1361111111111111,1789,6413,Fitbit sample 1,False,True,2021-02-21
2021-02-22,9022,2029.2961733341228,1.3902083333333335,0.21180555555555555,2032,9034,Fitbit sample 1,False,False,2021-02-22
2021-02-23,5570,1772.425612211229,1.205625,0.13402777777777777,1772,5570,Fitbit sample 1,False,True,2021-02-23
2021-02-24,3157,1579.4448068141965,1.0660416666666668,0.08541666666666667,1579,3157,Fitbit sample 1,False,True,2021-02-24
2021-02-25,4481,1687.6452113389987,1.1440277777777779,0.10347222222222222,1689,4481,Fitbit sample 1,False,True,2021-02-25
2021-02-26,49,1354.7064846754106,0.9041666666666667,0.0020833333333333333,1354,798,Fitbit sample 1,True,True,2021-02-26
2021-02-27,10739,2083.6305713653574,1.427013888888889,0.20972222222222223,2083,10739,Fitbit sample 1,False,True,2021-02-27
2021-02-28,8144,1883.249051928522,1.2834027777777777,0.18611111111111112,1885,8154,Fitbit sample 1,False,,2021-02-28
2021-03-01,3563,1587.8760066032437,1.07125,0.059027777777777776,1587,3563,Fitbit sample 1,False,,2021-03-01
2021-03-02,5665,1786.1965714693088,1.2153472222222221,0.13958333333333334,1786,5665,Fitbit sample 1,False,,2021-03-02
2021-03-03,6871,1883.811131834985,1.2863194444444443,0.1625,1883,6871,Fitbit sample 1,False,,2021-03-03
